ARTIST	LINK	ID	COMMENT	
Sigur Rós	https://youtu.be/n-BjxCpmxmo	n-BjxCpmxmo	This concert is like a drug for me.	
			I like to divide musical groups into two basic categories: A. Sigur Ros B. The other bands	
			This concert has repaired my DNA.	
			Music and art will save our souls.	
			I'm pretty sure Staralfur is the best song ever written	
			life is too short	
			Just imagine if they played Varúð  with orchestra... That must be magical	
			Every time I listen to À... I can't breathe. It's so beautiful!	
			This is just magnificent: I have no words.	
			Just incredible. I can't find the words to adequately express how I feel.	
Rudimental	https://youtu.be/5hw77PAxlUk	5hw77PAxlUk	Anne Marie the best I love Anne Marie	
			I love anne-marie and sinead harnett	
			mucho flow!!!!!	
			Best Rudimental performance	
			feel the love	
			Amazing! Innovative and epic.Great job!	
			"...as always, one of the best vibes are made in UK!!"	
			They are awesome	
			that little dance	
			right here	
	https://youtu.be/6m7XWVIYqTs	6m7XWVIYqTs	Sounds engineer needed	
			Rudimental <3	
			LIKE FOR MORE HOZIEER!!!  BY THE WAY IM BUZZ LIGHTHEAR...!!! 	
			Will hearddddd	
			Will Heard!! <3	
			Absolute GODS! Love them all :)	
			So amazing	
			What a classic!	
			realy realy gooood song	
			i love rudimental ❤	
	https://youtu.be/6XjATefHBjI	6XjATefHBjI	That drummer rules!!!	
			"Ella Eyre got the best vocals from the vocalists, imo, she sings so heart-warming yet spine-shiver-crawlingly! <3 and makes it look so easy"	
			the trumpet player is awesome	
			The drummer and the bloke on trumpet are both fire!	
			"Why is Ella not their lead singer......,i just don't gettit :-("	
			the song name is: SOLO	
			Fantástico!	
			I love Ella	
			I LOVE THEM!!! YOU ARE AMAZING GUYS! <3	
			Loveloveloveeeeeeeeeee this	
AIR	https://youtu.be/ZP9SvddHdO0	ZP9SvddHdO0	This is the best concert in my life so far.	
			"What a band. They are amazing. When someone tells me that electronic music is not good, I tell them to listen to AIR."	
			"Amazing concert. So pure, so simple."	
			"I am an air fan since 1998, one of my favorite bands ever."	
			There's nothing like AIR.	
			"Music is a language in what it speaks to us, we ""understand"" something even if we don't know what. Thanks Air to give us these beautiful tones ;)"	
			Sounding that good is supernatural. There are exceptional sound guys working behind the band.	
			Absolut fantastic! The soul of old and new synths in perfect combination.	
			"This is magic, it's magic...music is the only language all people do understand. La Femme d'Argent is wonderful"	
			"what a great and potent version of ""how does it make you feel?"""	
	https://youtu.be/3GALJl6Y16w	3GALJl6Y16w	Air fans are type of people that i would be friends with	
			We need a new album ASAP !!!	
			"Beautiful concert. Unfortunately the architect's name is not Niedemeyer, but Niemeyer. Cheers!"	
			If anyone can work those old vintage analogue's it's these boys. Great stuff guys.	
			I'd forgotten just how much I love Air.....what a class act they are!	
			Amazing!!	
			The opening of Cherry Blossom Girl just made me almost cry!! The lights!!	
			whoever did the lighting and the building it was perfect. the inside resembles a magnetic field. the reciprocating hyperbaloid	
			The angels went back down to earth from space.	
			"It is such an honor...to be a fan of this group and their music. Thank you, AIR."	
	https://youtu.be/-XSSQGfIV8A	-XSSQGfIV8A	Absolutely fantastic!	
			One of my favorites bands of all time!	
			Magnificent !	
			Great concert.	
			An absolutely perfect set and  performance.	
			GREAT song	
			Stunning	
			cool	
			Fabulous.	
			nothing but hot air	
Chet Faker	https://youtu.be/8PIr3SToDVM	8PIr3SToDVM	Chet's got some nice dance moves right there!	
			"they didnt give a damn still on their phones lol, i can say chet faker is one of my favorite musicians such an amazing talent"	
			Yes! His voice is heavenly	
			i swear the rest of the band just teleports on and off...	
			"so great. super cool seeing him with an audience this large, he rocks it"	
			When cigarettes and chocolate drops...	
			thousand likes to his performance. love it love it.	
			And Talk is cheap	
			bravo bravooooooo	
			why are none of my favorite chet faker songs on spotify wtf	
	https://youtu.be/veCnQve0rqc	veCnQve0rqc	This is good but I thought he was much funnier in The Hangover.	
			this guy has serious talent. multitasking all that live is real.	
			I really like this guy. Glad to have found some newer artists with flavour. <3	
			When you play a song for the first time and it's 1998... art in a few minutes	
			DAMN ! NO DIGGITY Killed	
			he's so hot it makes me cry	
			legit chill...love his soul style	
			I give him props!! LIVE AUDIO AND VOCALS! This guy is talented!!!	
			This guy is so fk'ng talented	
			This is just perfection	
Anderson .Paak	https://youtu.be/pCDJv4WQ_bc	pCDJv4WQ_bc	"Mark my words, Anderson .Paak will be a legend."	
			"He will go down in history. He doesn't just appeal to R&B fans, or hip-hop fans... he appeals to fans of ANY MUSIC."	
			Wheres that dope keyboard player of his? He is missed here.	
			Prince is looking down on this dude smiling forreal	
			"This is that 70s funk soul shit, love it."	
			I need to hear .Paak and 3000.	
			YES LAWD	
			Want .Paak to become a legend	
			That one dude screaming the lyrics is dedicated.	
			the kendrick lamar of soul	
	https://youtu.be/tLYwPSz-MJ4	tLYwPSz-MJ4	Anderson is a genius of our time and isn't receiving the attention he deserves. No one compares with him and wont for a long time	
			He is so unbelievably talent overall you can’t help but just admire his performances... go watch his tiny desk	
			"The entire set, band and background singers included, was incredible"	
			One white boy in the back say he know how to two-step	
			RIP KOBE RIP MAC	
			Love the Kobe tribute #8	
			How is this crowd so dead... saw him live and he’s one of the best shows I’ve ever seen	
			He plays drums?	
			Yessirrr	
			Who are the girls in the back	
Anne-Marie	https://youtu.be/TDB578_bNJE	TDB578_bNJE	Anne Marie fans❤❤	
			"I love the way she screams. It doesn't hurt and it fits, enough pitch, enough thinness. Waah, her voice is so unique."	
			"She's the happiest singer on the stage ever, i love her positive vibe"	
			"She is born to be a performer. No back up dancers nor dance steps needed, just unbreakable connection with audience! ❤ you Anne Marie!"	
			She's a fan of her own. And that's a beautiful sight.	
			"She's pure talent, she slays either live or in recording."	
			Flawless She is so talented!!! Love her and her voice	
			Anne Marie is one of the few artists who can really put a show on. Like literally	
			this queen did not even need backup dancers	
			This is one of the most genuine concert i've ever watched! She's a gem!	
Ed Sheeran	https://youtu.be/223eI1x6PsQ	223eI1x6PsQ	"Talented beyond words, who doesn't he touch A great artist "	
			He's rocking the crowd with just his voice and his solo guitar.. He is truly a legend legend Singer.....	
			I love how ed sheeran only uses his looper instead of having a band with him. Hes just truly amazing and such a humble performer.	
			Finally someone who sounds just as good live as recorded	
			"Can't get enough of Ed,he's so talented. He reminds me of my son whose a musician too."	
			Just love Ed Sheeran Love all his music so talented	
			"Just have to love this Guy, such a beautiful soul in an imperfect reality..."	
			That medley was everything! It's so nostalgic to hear him sing Drunk.	
			"I really hope he is enjoying his break right now, he deserves it"	
			"Awe, my favorite artist."	
	https://youtu.be/05272IrStv4	05272IrStv4	This is talent guys! 	
			"He doesn’t need need a band, he doesn’t need to dance, he doesn’t need to do anything else to be a perfect artist."	
			He’s perfect like this! Doing everything with just a guitar. This incredible!	
			I love Ed Sheeran!!	
			"This performance is so smooth. I can't believe this is all live, nothing is pre recorded, he and himself as a one man band."	
			Bloodstream is so underrated	
			this guy is a one-man band all he need is his guitar and his loop pad	
			I listen to him every day! I love so much!❤❤	
			Someone proposed during the song <Perfect>	
			"Who else is lovin that older woman in the front, bobbin her head to the beat? Awesome!"	
	https://youtu.be/lR3vIjAZDnM	lR3vIjAZDnM	"Does anyone else not find it crazy that this whole concert is him, his guitar, and a loop pedal?"	
			That shows that he is one of the greatest musicians of our time.	
			ED Sheeran is precious and needs to be protected at all costs	
			"Ed is my daughter's hero, she wants to be just like him when she grows up. I see why."	
			i watched the whole video and guess what? i didnt waste a single second of life	
			HOLY JESUS ED IS AWESOMEEEEEEEEEEEEEEEEE!!!	
			"He's a one man band, and he is a genius for sure."	
			This is like the only artist that sounds the same as live and in the recorded songs.	
			i honestly believe he is one of the few artists who sound even better live	
			"Almost 2 hours,  singing and playing by himself.  Absolutely legend.  "	
Tracy Chapman	https://youtu.be/kUXahDmsVdU	kUXahDmsVdU	She is my angel baby. I wish i could hug her for 10 mins straight.	
			This is one of those songs that seems like has existed from all eternity	
			Such a voice comes once in a century. So unique and touchy.	
			First heard this talented lady in concert opening for Bob Dylan about 30 years ago. I was blown away. Still am. Timeless.	
			"Thank you, Tracy, for sharing your artistic gifts. Your voice brings me comfort and smiles."	
			The best acoustic solo performance in history of popular music.	
			Tracy is the best	
			So pure and clean music.  A  guitar and her voice is all that was needed to make great music.	
			I love Tracy with my whole life!! Her songs have been a source of inspiration to me..	
			Very Real . Thank you Tracy .	
Simon & Garfunkel	https://youtu.be/Bxryb3xN-Lo	Bxryb3xN-Lo	So sad that there was no connection to each other on the concert. They made beautiful songs.	
			And who is so not interested came with a solo guitar in The Sound of Silence?	
			ART VOICE is so Cool as ICE..	
			"These song has only four guitar key...Dm, C, Bb and  F"	
			"Thank you, Simon. Thank you, Garfunkel. Its An everlasting Joy."	
			Bridge over troubled water is my all time favourite since I was 9	
			Beautifully done. Arts voice is magical..	
			Yester years were great when music was really music. I just dont get tired listening to S&G especially on a long drive.	
			"I got lots of memories with their songs, paul simon is the reason why i learned to play guitar. Quality Music"	
			Quiet just listen !	
Marcus Miller	https://youtu.be/J2VL0uqZP18	J2VL0uqZP18	One of the hardest jazz and base players of all time he is I'm telling you. Big up Marcus miller always I'm a huge fan	
			Marvellous	
			Thank you big legend	
			"Thank you Marcus and your friends , Nice !"	
			Finally get to see Marcus play the fretless live. Such a sweet feeling & sound. 	
			what a gentleman	
			"Marcus singing on the fretless, those lyric moments we don‘t get that often in the pop-slap universe."	
			YEAH!  MM always come wit the best live intros! Yessssssssssssssss!	
			"man, the piano samples on those Nords have gotten quite good, I must say..."	
			Best performance in recent years!	
Lumineers	https://youtu.be/353lHGbvu8o	353lHGbvu8o	Don't understand how Woody Harrelson has time to play the drums for these guys in between his acting gigs.	
			If The Lumineers dont perform on my funeral im not going.	
			"""It's better to feel pain than nothing at all"""	
			there are a few things in life that a human being just should not do. disliking the lumineers is one of those things.	
			Ive never heard a more genuine sounding band.  These guys need to go on tour with the head and the heart.	
			"this isn't music. This is far beyond that. Anyone can make songs but not many can make you ""feel it"". I feel it."	
			Neyla deserves more attention than she actually receives.	
			"the drummer always looks like he's having the time of his life. Great band altogether, i hope they will be around for many years."	
			The Music is just wow ! 	
			Stubborn Love is literally life.	
	https://youtu.be/Ud6nR6QKNmA	Ud6nR6QKNmA	"Flapper Girl is so underated, such a great song"	
			"The woman playing the cello, she has the most beautiful smile, the music is pretty good too :P"	
			some music is better live and recorded like this than the studio - very tight band	
			"It's not music, it's magic!"	
			"And when it came to love, we were not good enough for it"	
			I wanted to listen to their music without  crying. Impossible.	
			I am madly in love with The Lumineers! 	
			My God that woman is gorgeous! To me there is nothing hotter than a girl who plays an instrument!	
			This Band is so amazing. Can´t wait for the new Album!	
			She is beautiful omg	
Snow Patrol	https://youtu.be/X80i7-Dq2yg	X80i7-Dq2yg	If you want an example of how to mix live sound - this is it - sounds amazing	
			Incredible. The audio is amazing. The Engineers need a massive credit	
			Gary seems to get a genuine kick out of hearing the audience sing his music. The huge smile on his face is adorable.	
			Gary's light hearted fun attitude along with his relaxed confidence comes thru in a sincere charming way. You can tell he loves what he does.	
			"The performance of “Heal Me” is stunning, epic!!!"	
			Best band in the world!!??	
			Amazing acoustic set. Best I have ever heard.	
			WOW....JUST WOW!!! A night I’ll never forget.	
			Wow. They’re such a talented band.	
			That version of run awesome ♥️♥️♥️♥️	
Prince	https://youtu.be/uAYQUbh8HHA	uAYQUbh8HHA	People who never saw Prince in concert have no idea what they missed	
			Everyone in this band was a damn good musician.	
			always sang  never lip sync and always sound like the record	
			He was 24 years old when this was recorded.  Amazing.	
			Now THAT was a concert! There are no artists like this today.	
			"Do me baby, sexiest song ever written"	
			"The stage was his home, his church."	
			"He is not a Prince, he is KING."	
			Jimi Hendrix....Here's the Prince we told you about.	
			He was only around 23 years old.	
Sam Smith	https://youtu.be/3k-cUy9F1Vc	3k-cUy9F1Vc	Finally he is comfortable with himself and I'm living for it............... THAT OUTFIT IS LIFE <3	
			"Someone so confident, so in love with their voice, their body, their sexuality and ya'll cant seem to handle how amazing this person is."	
			"he seems so happy, he's litterally glowing, i'm so mesmerized"	
			I love that he’s dancing now. So proud of him	
			He is being he's true self and he's glowing	
			"Live Sam. People just need to stop with their negativity, no one cares. Spread positivity!"	
			They are AMAZING!! AND THEY YES IS THEIR PRONOUN. NON BINARY FINERY.	
			This is absolutely perfection in all sense!!!	
			He has a perfect eyeliner and his simply majestic voice	
			LOVE the diversity in his backup dancers! YES representation!	
Michael Jackson	https://youtu.be/Hxgo-Qu-ZZE	Hxgo-Qu-ZZE	The most talented pop music icon that ever existed!	
			To Everyone here: You have a great taste in Music!	
			The best Singer of the world and I believe he isn't death only king of Pop heeeeeeeeeeeeee!!!!!!	
			"No cameras , no smartphones , No Internet ,people were 100% connected to Michael"	
			He donate the money off all childreen Houses in Romania ...after the concert what a kind man...beautifull soul	
			B E S T   A R T I S T   O F   A L L   T I M E	
			Michael Jackson is the king of pop that nobody will change him being dead	
			"Not only Michael is gifted, he cared a lot about his fans."	
			"no one recording , just enjoying Michael Jackson’s talent !!!"	
			This is the best concert ever ... There will never be another Michael Jackson...	
Travis Scott	https://youtu.be/iaFKqyP_V88	iaFKqyP_V88	travis has the best concerts dont @me	
			I almost died. Best time of my life	
			most beautiful thing you’ll ever hear	
			The kid who went on stage is lame asf	
			Travis is a humble man	
			5% tint dope asf	
			why Travis is goated	
			Guy with the phone missed his chance to have a moment	
			Astroworld coming	
			“Out Of This World”	
Branford Marsalis	https://youtu.be/sQQ0EvJZvFg	sQQ0EvJZvFg	I can't stop dancing!!! Great quartet and great music!!	
			That bassist was really diggin it	
			Jazz is In his Gene!! smooth!!	
			Calderazzo really kicks ass!!!	
			Tain and Revis ain't bad either!!!	
			I love Brantford. His style is Grown and Sexy and undoubtedly amazing!!!	
			Beautiful!!	
			monster master class!	
			Performance.	
			Joey plays hard!	
UNDERWORLD	https://youtu.be/RAUbRjx6ntw	RAUbRjx6ntw	The best Underworld concert I've ever been to.	
			"nice music, nice video."	
			Top artists! Thanks!	
			as always the best !	
			Wow avesome. Young boys:))	
			u are simply the best!	
			\m/  !!!!!!!!!!!! Excelent !!!	
			big big like!	
			Looveeeeeeeeeeeee	
			1st track is very cool! As old favorite Underworld!!!!	
Al McKay's Earth Wind & Fire Experience	https://youtu.be/O3EVsT08Khg	O3EVsT08Khg	You got the best of my love oh oh oh......... Mr. Al Makay	
			The real Al Mc Kay	
			Genios...	
			"Wow, thank you....that was awesome....Thank you Al for keeping music alive...  :)"	
			love it	
			"Basse Mr. James Manning, hey!"	
