ARTIST	LINK	ID	COMMENT	
Rage Against the Machine	https://youtu.be/F9S-JVKw0mE	F9S-JVKw0mE	Zach's anger is a gift to humanity. 	
			Rage makes me wanna flip a cop car	
			RAGE AGAINST THE MACHINE IS MODERN DAY THERAPY TO MY EARS.	
			I tried telling my mom what they were singing at the end but she smashed me with a wooden spoon.	
			I actually feel sorry for Metallica who had to play after them.	
			Some of the most important music ever written. These guys give every ounce of energy they can give.	
			"There's never been a band like RATM, they're one of a kind. One of the greatest of all time."	
			We need a little Rage right now. This is for the people of the Sun.	
			"de la Rocha is one of the greatest rappers of all time, but because he does it in a rock format, you never his name mentioned."	
			Governments invented covid19 to stop ratm tours	
Korn	https://youtu.be/jR88BgYMlbQ	jR88BgYMlbQ	Are you READY!?!	
			Crowd turns into Liquid	
			"I wonder how many people went with their friends, went crowd surfing and then could never find the people they came with after that"	
			and this is how the 90s said goodbye	
			David Sylveria was a sick drummer.	
			"A crowd with no phones, that's something you'll never see again :("	
			munkys frog leap dance move	
			"not gonna lie, I'll always miss the 80s and 90s"	
			Falling Away From Me was really sick.	
			They're one of the literal best bands ever.	
	https://youtu.be/NpSKLOjC0ts	NpSKLOjC0ts	"damn this music reminds me of not doing homework, playing n64, drinking orange soda, coming inside from rollerblading"	
			late 90's nu metal era is forever the shit.	
			Iphone free crowd. Those were the days. Proper mosh pit too!	
			THAT MOUSTACHE.	
			Dave Silveria is so underrated.	
			THE days of Adidas vs Puma.	
			"PA/Sound was amazing!  The guitars, amps and pedals, everything was perfect.  That bit with Ice Cube was amazing."	
			Can't explain the feeling of listening to korn songs <3	
			Munky getting really into it	
			"Silveira's chops so intense, them sudden blasts.."	
	https://youtu.be/toBpygISzeM	toBpygISzeM	"Why do people record when there are professional recordings only a few days after, they ruin the shows"	
			I think Brixton Academy is one of my favourite concerts the sound is so much better cause it is indoors and small and the drums and guitars sound way better there than most concerts.	
			The energy it must take for JD to belt out these vocals for an entire show....fukn impressive!	
			"This is sad, Get rid of them phones and have a good time!"	
			I still love KoRn!	
			I love that I can name every song from every concert haha	
			My favourite band till the day I die.	
			dead bodies everywhere!!!	
			my dream watching KORN concert :-(	
			Dave Mustaine xD	
Queen	https://youtu.be/SbWLWNXsVxA	SbWLWNXsVxA	"This cleared my acne, cured my depression, and gave me good grades"	
			All songs of Queen are great	
			He truly was in a league of his own.  His live performances where just out of this world.  Nobody will ever come close to this mans ability	
			"There’s a love affair going on between Freddie and his audience, both ways."	
			I’ve been told I’m obsessed with Queen and Freddie. Uh yeah !!!!	
			"I couldn’t stop looking at Deaky, he’s just so mesmerising"	
			Freddie Mercury is a total performer ever in the history of music	
			Nobody talks about Freddie's good shape. Did he workout? what a great body!	
			Oh my god. They were and are amazing. Freddie was beyond incredible.  I’m in awe.	
			THE BEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEST	
Hives	https://youtu.be/e2f0Ff2cfQY	e2f0Ff2cfQY	such a underrated band	
			"Damn, that drummer gets one hell of a cardio workout..."	
			"This is a perfect example of how every musician should act, BE ACE AND HAVE A BLOODY GOOD TIME"	
			"Damn, these guys are amazing live. "	
			Gentlemen doing punk	
			"music's missing danger, but these guys are doing a good job roughing it up"	
			That bass is fuzzrocious	
			"Something is wrong with his microphone... at first I thought it is still turned off, but maybe it is too quiet because the others sound much louder... weird o.O"	
			That was a great performance!	
			clockwork orange	
	https://youtu.be/4d_xk7sSIbU	4d_xk7sSIbU	"Maybe one of the most underrated frontmen and live acts since the 80s, swear down"	
			"The Hives are when The Stooges, Pixies, The B 52's, The Clash and DEVO all have an overly mischievous musical baby they will have to eventually put on Ritalin. Too much fun!"	
			"Good lord, what a HOT CROWD!  So many concerts nowadays, people just stand silent.  These gents are what live music is all about"	
			I love the insane style of Nicholaus Arson.	
